22|,12|22,560
22|,21|22,564
22|,23|22,553
4|,14|4,484
4|,3|4,494
4|,94|4,492
4|,5|4,508
5|,15|5,479
5|,4|5,448
5|,95|5,519
5|,6|5,527
11|,12|11,541
11|,10|11,454
11|,1|11,431
11|,21|11,745
10|,11|10,471
10|,20|10,475
10|,0|10,418
10|,19|10,460
2|,12|2,561
2|,92|2,505
2|,1|2,562
2|,3|2,507
0|,1|0,459
0|,90|0,441
0|,10|0,436
0|,9|0,446
90|,91|90,450
90|,0|90,451
90|,80|90,435
90|,99|90,487
9|,0|9,452
9|,99|9,462
9|,19|9,461
9|,8|9,456
88|87,78|88.87,92
88|87,98|88.87,183
88|87,89|88.87,117
88|87,87|88,86
88|98,78|88.98,124
88|98,87|88.98,117
88|98,98|88.98,139
88|98,89|88.98,114
88|89,78|88.89,118
88|89,87|88.89,106
88|89,98|88.89,117
88|89,89|88.89,103
68|69,78|68.69,104
68|69,67|68.69,121
68|69,58|68.69,121
68|69,69|68.69,119
68|58,78|68.58,147
68|58,67|68.58,162
68|58,69|68.58,142
68|58,58|68.58,159
68|78,78|68.78,107
68|78,67|68.78,124
68|78,58|68.78,111
68|78,69|68.78,113
77|78,78|77.78,123
77|78,76|77.78,104
77|78,67|77.78,123
77|78,87|77.78,117
79|78,78|79.78,121
79|78,69|79.78,118
79|78,89|79.78,120
79|78,70|79.78,109
79|69,78|79.69,123
79|69,69|79.69,132
79|69,89|79.69,114
79|69,70|79.69,131
79|70,78|79.70,121
79|70,69|79.70,120
79|70,89|79.70,106
79|70,70|79.70,148
79|89,78|79.89,118
79|89,69|79.89,109
79|89,70|79.89,112
79|89,89|79.89,110
77|76,67|77.76,117
77|76,76|77.76,142
77|76,78|77.76,118
77|76,87|77.76,116
77|87,67|77.87,109
77|87,76|77.87,123
77|87,78|77.87,122
77|87,87|77.87,92
57|47,67|57.47,115
57|47,56|57.47,106
57|47,47|57.47,94
57|47,58|57.47,105
57|56,67|57.56,132
57|56,56|57.56,120
57|56,47|57.56,122
57|56,58|57.56,142
57|67,67|57.67,135
57|67,56|57.67,142
57|67,47|57.67,103
57|67,58|57.67,133
66|76,67|66.76,131
66|76,76|66.76,104
66|76,65|66.76,114
66|76,56|66.76,117
66|65,67|66.65,119
66|65,76|66.65,98
66|65,65|66.65,101
66|65,56|66.65,125
86|76,87|86.76,115
86|76,76|86.76,115
86|76,85|86.76,116
86|76,96|86.76,127
86|87,87|86.87,135
86|87,85|86.87,116
86|87,76|86.87,108
86|87,96|86.87,117
88|78,87|88.78,133
88|78,78|88.78,135
88|78,89|88.78,143
88|78,98|88.78,151
77|67,87|77.67,129
77|67,67|77.67,132
77|67,78|77.67,118
77|67,76|77.67,112
97|98,87|97.98,107
97|98,96|97.98,135
97|98,98|97.98,108
97|98,7|97.98,102
97|87,87|97.87,119
97|87,7|97.87,123
97|87,98|97.87,111
97|87,96|97.87,100
66|56,76|66.56,113
66|56,65|66.56,117
66|56,67|66.56,136
66|56,56|66.56,117
66|67,76|66.67,128
66|67,56|66.67,134
66|67,65|66.67,121
66|67,67|66.67,100
86|96,76|86.96,137
86|96,85|86.96,122
86|96,87|86.96,113
86|96,96|86.96,123
75|85,76|75.85,129
75|85,65|75.85,125
75|85,74|75.85,139
75|85,85|75.85,123
75|76,76|75.76,125
75|76,85|75.76,137
75|76,74|75,107
75|76,65|75,101
75|74,76|75.74,114
75|74,65|75.74,133
75|74,74|75.74,106
75|74,85|75.74,137
76|75,66|76.75,109
76|75,86|76.75,130
76|75,77|76.75,149
76|75,75|76.75,104
76|66,66|76.66,117
76|66,75|76.66,109
76|66,86|76.66,103
76|66,77|76.66,121
76|77,66|76.77,128
76|77,86|76.77,126
76|77,77|76.77,103
76|77,75|76.77,132
67|68,66|67.68,124
67|68,57|67.68,117
67|68,68|67.68,113
67|68,77|67.68,136
67|77,66|67.77,132
67|77,68|67.77,119
67|77,77|67.77,118
67|77,57|67.77,117
85|75,86|85.75,123
85|75,75|85.75,127
85|75,95|85.75,141
85|75,84|85.75,137
87|77,86|87.77,131
87|77,88|87.77,116
87|77,97|87.77,103
87|77,77|87,100
